date,OT,blkio.throttle.io_service_bytes_Async,blkio.throttle.io_service_bytes_Read,container_cpu_usage_seconds_total,container_memory_active_file,container_memory_hierarchical_memory_limit,container_memory_rss,container_network_tcp_TimeWait,cpu.busy,mem.memused,net.if.in.bytes
2018-07-24 00:22:30,5.13,55459840.0,32145408.0,4.017326699e+16,15564238848.0,68719476736.0,10565128192.0,11.0,1634.11,77.56,7378055.2
2018-07-24 00:23:00,5.12,55459840.0,32145408.0,4.01734484e+16,15564255232.0,68719476736.0,10564128768.0,9.0,616.15,77.56,37220829.8
2018-07-24 00:23:30,4.96,55459840.0,32145408.0,4.017351132e+16,15564259328.0,68719476736.0,10563997696.0,9.0,210.42,77.56,1209.2
2018-07-24 00:24:00,5.35,28204675072.0,4498563072.0,4.017361028e+16,15564288000.0,68719476736.0,10563948544.0,7.0,353.57,77.56,45505132.9
2018-07-24 00:24:30,5.37,55459840.0,32145408.0,4.017409865e+16,15564288000.0,68719476736.0,10563952640.0,6.0,1652.75,77.56,4688373.3
2018-07-24 00:25:00,5.29,28204699648.0,32145408.0,4.017421124e+16,15564300288.0,68719476736.0,10562736128.0,6.0,378.83,77.56,17476903.17
2018-07-24 00:25:30,5.12,55459840.0,4498563072.0,4.017425117e+16,15564304384.0,68719476736.0,10562600960.0,5.0,134.15,77.56,2275.1
2018-07-24 00:26:00,5.18,28204756992.0,4498563072.0,4.017432278e+16,15564324864.0,68719476736.0,10563784704.0,8.0,257.58,77.56,52898007.4
2018-07-24 00:26:30,5.11,55459840.0,32145408.0,4.017450837e+16,15564337152.0,68719476736.0,10563022848.0,10.0,620.95,77.56,7387391.8
2018-07-24 00:27:00,4.98,55459840.0,4498563072.0,4.017483035e+16,15564337152.0,68719476736.0,10563166208.0,0.0,1102.13,77.56,7388835.93
2018-07-24 00:27:30,4.81,55459840.0,4498563072.0,4.017483318e+16,15564341248.0,68719476736.0,10563162112.0,0.0,10.7,77.56,509.03
2018-07-24 00:28:00,4.85,34908008448.0,4498563072.0,4.017491961e+16,15564365824.0,68719476736.0,10563956736.0,6.0,306.21,77.56,47860851.93
